# 6 Degree M1845 (Up to date),,,,
# 3090 data points written for 5 variables.,,,,
# Simulation warnings:,,,,
"#   Recovery device deployment at high speed (23.8 m/s):  ""Drogue""",,,,
"#   Recovery device deployment at high speed (27.7 m/s):  ""Main""",,,,
#,,,,
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Vertical acceleration (m/s^2)
# Event IGNITION occurred at t=0 seconds,,,,
# Event LAUNCH occurred at t=0 seconds,,,,
0,0,2919.948,0,0
0.002,0,2919.948,0,0
0.004,1.47E-05,2919.948,0.007,7.7499
0.006,1.31E-04,2919.948,0.031,16.52004
0.008,4.64E-04,2919.948,0.073,25.29999
0.01,0.001,2919.949,0.132,34.07994
0.012,0.002,2919.95,0.209,42.85008
0.014,0.004,2919.951,0.304,51.63003
0.016,0.006,2919.954,0.416,60.40998
0.018,0.009,2919.957,0.545,69.18993
0.02,0.013,2919.961,0.693,77.96988
0.022,0.019,2919.966,0.857,86.74983
0.024,0.025,2919.972,1.039,95.52978
0.026,0.032,2919.98,1.23,95.22567
0.028,0.041,2919.988,1.42,94.92156
0.03,0.051,2919.998,1.61,94.61745
0.032,0.062,2920.01,1.798,94.30353
# Event LIFTOFF occurred at t=0.034 seconds,,,,
0.034,0.074,2920.022,1.987,94.10733
0.036,0.088,2920.036,2.175,93.80322
0.038,0.103,2920.05,2.362,93.49911
0.04,0.119,2920.067,2.548,93.195
0.042,0.136,2920.084,2.734,92.88108
0.044,0.155,2920.102,2.92,92.57697
0.046,0.175,2920.122,3.105,92.27286
0.048,0.196,2920.143,3.289,91.96875
0.05,0.218,2920.165,3.472,91.65483
0.052,0.241,2920.189,3.655,91.35072
0.054,0.266,2920.213,3.838,91.04661
0.056,0.292,2920.239,4.019,90.7425
0.058,0.319,2920.266,4.2,90.42858
0.06,0.347,2920.294,4.381,90.12447
0.062,0.376,2920.324,4.561,89.82036
0.064,0.407,2920.354,4.74,89.50644
0.066,0.438,2920.386,4.919,89.20233
0.067,0.455,2920.402,5.008,89.04537
0.069,0.48,2920.427,5.141,89.06499
0.071,0.514,2920.461,5.32,89.09442
0.073,0.549,2920.497,5.498,89.11404
0.075,0.586,2920.534,5.676,89.14347
0.077,0.624,2920.571,5.854,89.16309
0.079,0.663,2920.61,6.032,89.18271
0.081,0.703,2920.651,6.211,89.21214
0.083,0.744,2920.692,6.389,89.23176
0.085,0.787,2920.734,6.568,89.26119
